unit_nr,event,time,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13
1,1,148,148.0,-4.830000000000041,10952.0,-4129.414999999996,3414.5749999999925,11.664450000004763,540298.666666667,-332916.3650000003,54679.310000000165,132565.68036666675,225338.89499999944,-245186.2862833333,114346.94451666682,-18.779764500126475
2,1,268,268.0,-91.92999999999995,35912.0,-7641.485000000005,-16995.754999999983,4225.562449999993,3208138.6666666637,-968223.3116666648,-111471.3566666671,232234.90679999956,-2221695.4916666625,238011.90244999775,662203.9273499992,-129485.31867616605
3,1,205,205.0,14.67999999999995,21012.5,-5657.330000000004,8666.730000000001,107.75120000000288,1435854.1666666672,-615604.3133333342,71455.9766666666,162169.88981666637,852611.8366666666,-407389.384033334,267308.4902166667,527.262538666575
4,1,234,234.0,94.82999999999993,27378.0,14882.514999999985,7307.705000000002,4496.364449999997,2135484.0000000023,1748567.3049999985,-14626.10000000028,587886.8645999992,862314.5350000001,235535.16824999906,228727.24844999993,142130.08026449953
5,1,153,153.0,-4.8799999999999955,11704.5,-4060.960000000009,3314.320000000005,11.90720000000104,596929.5000000001,-317326.03333333373,13325.186666666417,120077.5130666672,246882.88666666707,-220337.54133333353,102081.82986666694,-19.369045333486554
6,1,174,174.0,-56.1099999999999,15138.0,-5017.834999999988,-4745.304999999988,1574.166049999998,878003.9999999993,-406003.58166666544,-61096.12666666633,158061.64478333297,-382293.47166666534,-34572.56771666736,150415.81563333335,-29442.15235516666
7,1,173,173.0,-54.18999999999994,14964.5,-5373.5049999999865,-4001.364999999997,1468.278050000002,862952.8333333327,-514912.00166666595,100207.63833333369,156901.2288999998,-396221.89166666655,-22612.221850000333,119723.09560000004,-26521.995843166576
8,1,150,150.0,-13.230000000000018,11250.0,-6677.065000000004,4692.564999999993,87.51644999999849,562500.0000000002,-521855.42499999976,42151.09999999965,214460.0115333337,330866.8249999997,-340582.45311666664,139249.909083333,-385.94754450029603
9,1,198,198.0,50.40999999999997,19602.0,4880.324999999996,5100.854999999994,1270.58405,1293732.0,492245.44166666694,-18186.533333333555,161514.87415000016,514077.91166666604,-77012.56505000028,167073.33279999968,21350.047320166712
10,1,183,183.0,94.53999999999996,16744.5,12740.82,4560.0,4468.905799999994,1021414.499999999,1126888.0666666653,77793.92666666684,528589.2545999992,378343.0366666665,147338.61359999978,141881.89319999985,140830.1181106662
11,1,270,270.0,-56.17000000000007,36450.0,-7123.63500000002,-8042.265000000002,1577.5344500000042,3280499.9999999967,-1006361.001666669,89340.55333333275,216737.85341666755,-1130376.0516666668,-33341.12888333364,242537.57696666714,-29536.70335216709
12,1,248,248.0,56.860000000000014,30752.0,6279.489999999995,7821.790000000001,1616.529799999996,2542165.3333333335,754584.9666666656,48143.58666666539,187370.13013333274,945830.1666666676,-17688.458866666293,231217.71913333298,30638.628142666254
13,1,226,226.0,-47.319999999999936,25538.0,-5763.829999999993,-4930.4899999999925,1119.5911999999944,1923862.6666666688,-647298.0766666667,-8029.426666666897,188749.11194999958,-553130.6566666659,-104753.78830000044,169032.28754999946,-17659.6851946663
14,1,192,192.0,-5.279999999999973,18432.0,-5573.2400000000025,4559.480000000007,13.939199999999857,1179647.9999999995,-525328.6500000006,-19404.780000000042,156765.2635666664,447412.47000000055,-284103.81993333343,130014.88276666675,-24.532991999931703
15,1,208,208.0,94.74000000000001,21632.0,13366.610000000008,6339.309999999996,4487.833800000004,1499818.6666666674,1353866.0,72522.8799999999,528670.7217666663,623026.7999999985,209011.1878666664,195787.52076666697,141725.7914039999
16,1,153,153.0,1.2799999999999727,11704.5,-5935.410000000007,6131.250000000004,0.8192000000008193,596929.5000000001,-459527.30666666717,10936.883333333122,185481.5218000002,463572.1833333336,-378560.36840000056,193204.1842000004,0.3495253331202548
17,1,179,179.0,-91.51999999999998,16020.5,-4232.440000000004,-12149.640000000005,4187.955199999997,955889.8333333324,-408390.45333333267,59174.14666666679,127194.13208333339,-1116979.8533333328,132964.64463333396,489485.2040833329,-127760.55330133326
18,1,208,208.0,-1.4599999999999227,21632.0,5689.37000000001,-5993.049999999996,1.0657999999998538,1499818.6666666674,611216.5266666672,-39044.09333333318,165284.99153333303,-603755.1533333331,-338876.463266667,173813.1581333335,-0.5186893334030174
19,1,162,162.0,-53.76999999999998,13122.0,-4572.175000000005,-4138.564999999994,1445.606449999998,708587.9999999998,-370772.1516666667,851.9533333332135,131354.06021666658,-335649.7416666664,-16862.27068333351,119696.45536666633,-25910.08627216646
20,1,153,153.0,106.48000000000002,11704.5,9752.190000000008,6539.249999999994,5668.9952,596929.5000000001,737943.006666667,16199.05666666659,377145.0665666673,492153.09666666616,284123.05806666653,206088.14096666616,201211.53629866662
21,1,188,188.0,1.919999999999959,17672.0,-3995.6399999999976,4356.600000000001,1.8432000000022981,1107445.3333333326,-390564.49,29948.66000000049,138387.51649999968,394546.0700000002,-284446.66180000035,146405.66690000036,1.1796479998738505
22,1,191,191.0,-91.76999999999998,18240.5,-5562.754999999987,-11965.315000000004,4210.866449999994,1161311.8333333328,-573891.2749999996,85296.34500000019,168302.86486666565,-1185335.7549999997,173888.29661666616,462084.33046666684,-128810.40470549953
23,1,210,210.0,-55.82999999999993,22050.0,-6230.384999999984,-5493.914999999996,1558.4944499999929,1543500.000000001,-711632.2149999994,114883.58000000032,190758.03958333263,-634302.8649999995,-33673.684616666724,170199.47953333313,-29003.58171449948
24,1,190,190.0,-56.95999999999992,18050.0,-5616.479999999992,-5205.919999999988,1622.2207999999976,1143166.666666666,-497217.9033333329,-72695.39333333341,177130.50471666636,-458214.70333333284,-34346.30863333403,165437.75591666676,-30800.565589332957
25,1,204,204.0,57.15000000000009,20808.0,5656.255000000009,6002.345000000012,1633.061250000003,1414944.0000000005,598547.2350000001,-43218.45000000003,164080.94265000045,633848.4149999997,-4906.912050000043,173970.46440000023,31109.81681249976
26,1,186,186.0,-105.16000000000008,17298.0,-7433.56000000001,-12126.200000000017,5529.312800000006,1072475.999999999,-719172.8466666673,55703.53333333381,235809.9189166675,-1155588.3666666683,310093.33176666737,482548.93011666666,-193820.844682667
27,1,175,175.0,-90.94000000000005,15312.5,-5297.170000000013,-10617.330000000005,4135.041799999999,893229.1666666659,-477943.50666666793,28882.263333333136,159556.80344999974,-943457.5066666672,162611.03290000034,401464.4786499993,-125346.90043066628
28,1,199,199.0,56.51999999999998,19800.5,5434.109999999993,5813.370000000003,1597.2551999999982,1313433.1666666667,518284.39999999956,44819.09000000038,168986.5351166669,556020.7700000003,-30837.17303333332,179704.4227166665,30092.287967999826
29,1,150,150.0,1.25,11250.0,3947.3050000000085,-3759.805000000005,0.781249999998181,562500.0000000002,318060.308333334,-44024.86666666638,114134.48773333305,-259972.94166666677,-223334.8442166669,109317.54398333334,0.3255208330738242
30,1,165,165.0,1.0499999999999545,13612.5,4520.385,-4347.135000000007,0.5512499999990723,748687.4999999997,369782.8650000007,6297.795000000158,134495.13558333358,-361787.5350000005,-264243.8669166671,129839.68758333343,0.19293750016367994
31,1,342,342.0,107.08000000000004,58482.0,23035.590000000015,13585.769999999997,5733.0632000000005,6666948.000000008,3942502.5766666676,-6833.373333331737,927764.0732166653,2326583.3566666665,611122.8307666673,421820.71041666623,204632.13581866655
32,1,280,280.0,106.88,39200.0,17267.629999999997,12658.769999999984,5711.667199999997,3658666.666666662,2378618.373333335,77699.65333333293,658845.3504166651,1733377.9733333301,527873.5935666657,412547.8720166669,203487.66344533337
33,1,194,194.0,13.730000000000018,18818.0,-5063.875000000004,7727.495000000008,94.25644999999986,1216897.333333333,-510070.28166666685,37748.8133333331,147113.15786666665,730692.608333334,-363753.31948333397,234925.91291666683,431.3803528335993
34,1,204,204.0,-35.889999999999986,20808.0,4981.084999999998,-12302.644999999999,644.0460499999973,1414944.0000000005,564863.0083333332,-113584.67666666658,156430.77845,-1198077.451666665,-491632.69754999963,466587.3132999992,-7704.9375781664085
35,1,195,195.0,0.7900000000000773,19012.5,-6415.094999999993,6569.145000000008,0.31205000000022665,1235812.4999999998,-624789.5483333325,-1364.428333333287,190512.40011666584,641173.8516666671,-386092.7252833331,195641.17491666676,0.0821731667892891
36,1,202,202.0,-1.3899999999999864,20402.0,5079.795,-5360.5750000000035,0.9660500000003367,1373734.666666667,473535.93833333376,79046.7133333332,165829.19244999936,-580941.4316666675,-338719.2999500005,173085.24959999998,-0.4476031665708433
37,1,209,209.0,107.64999999999998,21840.5,13501.854999999978,8996.995000000003,5794.261249999998,1521554.8333333342,1408950.7916666653,3986.1116666656108,531722.7173333324,938192.9216666671,390029.25608333346,289248.627833333,207917.40785416664
38,1,176,176.0,13.629999999999995,15488.0,-5472.8049999999985,7871.684999999997,92.88845000000134,908629.3333333326,-454876.038333333,-53461.60333333314,170405.70244999992,719439.0816666669,-415405.73705000035,261348.40180000002,422.0231911670714
39,1,213,213.0,13.620000000000005,22684.5,-6474.60999999999,9375.66999999999,92.75219999999558,1610599.5000000012,-710780.7199999996,42469.5100000006,200597.39966666617,977274.0999999994,-489378.98753333255,308537.80646666547,421.09498800010624
40,1,192,192.0,-57.129999999999995,18432.0,-5680.695000000007,-5288.264999999998,1631.9184499999978,1179647.9999999995,-537724.641666668,-15244.156666666318,170540.4204999999,-500051.36166666605,-16542.73565000001,159330.65754999974,-31077.167016166746
41,1,261,261.0,-50.69999999999993,34060.5,-6378.63999999998,-6854.059999999981,1285.2449999999947,2963263.499999998,-892776.0199999983,120727.00000000137,192167.35404999874,-954818.3299999986,-60937.66010000142,204219.25104999923,-21720.64049999983
42,1,220,220.0,-91.83000000000004,24200.0,-5698.835000000003,-14503.765000000018,4216.374450000001,1774666.6666666684,-625524.2349999993,-2695.2300000000578,169571.69278333322,-1594066.5350000006,184180.632483334,573850.0537333345,-129063.22191450038
43,1,210,210.0,-5.240000000000009,22050.0,-5755.600000000016,4655.199999999999,13.728799999996909,1543500.000000001,-600036.8633333329,-8602.2733333344,171789.08061666705,493097.13666666683,-313418.81723333313,144512.78461666626,-23.979637333082792
44,1,204,204.0,1.1700000000000728,20808.0,-8518.845000000001,8757.525000000009,0.684450000002812,1414944.0000000005,-838629.9350000002,-60584.5100000004,267591.7730833335,923559.8050000005,-545150.594816667,277698.4495333345,0.26693550041636627
45,1,150,150.0,7.519999999999982,11250.0,-4079.9099999999958,5207.910000000001,28.275199999997714,562500.0000000002,-324938.39666666684,37890.293333333495,121805.27233333308,371648.1033333337,-274291.4678666667,156727.4755333332,70.87650133347927
46,1,200,200.0,1.1100000000000136,20000.0,-6017.575,6239.575000000003,0.6160499999996318,1333333.3333333335,-601885.9550000009,256.90999999981335,178528.6147999998,623829.0450000003,-363736.73785000073,185331.33305000025,0.22793849997106008
47,1,245,245.0,-56.559999999999945,30012.5,-6667.719999999997,-7189.479999999997,1599.516799999993,2451020.833333334,-832061.5166666674,30531.63333333308,198747.56071666654,-895977.1166666661,-20368.878233333824,213502.9335166659,-30156.223402666477
48,1,238,238.0,-4.389999999999986,28322.0,-6540.275000000013,5495.455000000005,9.63604999999825,2246878.6666666684,-833109.9816666675,109634.51333333278,202552.15808333314,599141.8883333341,-376392.50891666685,176133.7307333334,-14.100753166945651
49,1,167,167.0,69.20000000000005,13944.5,4891.619999999997,6664.780000000003,2394.3200000000024,776243.8333333329,418410.9933333334,-19921.44666666652,140785.2219333334,566469.853333334,56929.66013333334,202136.55793333362,55228.98133333318
50,1,221,221.0,-53.47000000000003,24420.5,-6357.784999999998,-5459.084999999997,1429.5204500000004,1798976.8333333351,-734522.4716666675,63974.458333333976,195304.1157833334,-635216.1216666662,-50657.46761666629,171277.37128333305,-25478.81948716636
51,1,292,292.0,-53.950000000000045,42632.0,-9369.645000000008,-6383.755000000003,1455.3012500000027,4149514.66666666,-1461266.4216666666,186596.50333333304,288807.4877999991,-1025326.4816666675,-72122.62785000032,208263.10504999975,-26171.167479166674
52,1,173,173.0,13.629999999999995,14964.5,-4696.935000000001,7054.924999999995,92.88844999999242,862952.8333333327,-440768.988333333,68968.22166666642,144180.53144999966,575766.9016666665,-352380.2869499997,224269.45734999946,422.02319116695435
53,1,147,147.0,88.68000000000006,10804.5,9626.40000000001,3409.560000000003,3932.071200000006,529420.5000000003,690811.7600000002,33457.28000000012,383890.44455000025,233874.0200000003,85888.26290000029,108235.75895000024,116232.02467200033
54,1,198,198.0,1.3899999999999864,19602.0,-6247.515000000006,6522.7350000000015,0.9660499999981766,1293732.0,-678690.3083333339,120372.64666666614,190720.46053333295,585564.4416666669,-390124.9669166673,199595.78428333302,0.44760316675092326
55,1,158,158.0,-67.08000000000004,12482.0,-6505.060000000004,-4093.5800000000054,2249.8632,657385.3333333333,-538817.2799999998,49835.07999999979,214913.0266000001,-348310.36000000034,6533.371600000192,134031.98740000007,-50306.94115199987
56,1,162,162.0,55.879999999999995,13122.0,4085.299999999997,4967.260000000006,1561.2872000000007,708587.9999999998,311519.8633333331,38778.87333333349,134587.2503166665,382958.6233333339,-40887.93663333338,159229.2127166672,29081.5762453328
57,1,139,139.0,69.16999999999996,9660.5,4215.264999999998,5399.364999999999,2392.2444499999974,447603.1666666669,286374.8683333332,13172.098333333173,120957.847333333,368669.81833333336,49654.18538333307,161909.94583333342,55157.1828688333
58,1,161,161.0,-54.59999999999991,12960.5,-4239.249999999987,-4551.349999999998,1490.5799999999979,695546.8333333331,-370739.10999999935,58958.969999999936,124353.5632666666,-395863.1599999994,-17244.0765333336,132873.89326666648,-27128.555999999873
59,1,193,193.0,14.430000000000064,18624.5,-6151.384999999988,8936.375000000013,104.11245000000235,1198176.1666666663,-645918.6249999997,104619.94500000039,188958.0761666662,810050.2150000003,-466680.6378833333,297816.2645666675,500.7808844995743
60,1,176,176.0,0.7699999999999818,15488.0,4868.285000000005,-4732.765000000008,0.2964500000023236,908629.3333333326,416928.4083333339,22961.343333333185,141819.58095000018,-427963.99166666734,-279890.58245000034,138123.17670000065,0.07608883340799366
61,1,217,217.0,-91.84000000000003,23544.5,-6467.350000000014,-13461.93,4217.292799999998,1703052.1666666681,-660878.9266666669,-81657.09666666761,198331.733166667,-1419790.856666666,197297.9576666669,519522.8467666669,-129105.3902506665
62,1,183,183.0,-5.310000000000059,16744.5,-5887.115000000011,4915.385000000004,14.098049999997784,1021414.499999999,-567740.6650000011,58139.28500000047,189242.43886666736,420688.085,-347224.29708333383,160561.80136666654,-24.9535484999069
63,1,167,167.0,-70.20999999999992,13944.5,-6956.044999999992,-4769.024999999995,2464.722049999993,776243.8333333329,-555370.2716666661,-50918.97166666658,224810.87526666673,-372754.101666666,38762.16891666641,148035.53816666646,-57682.711710166186
64,1,281,281.0,94.38,39480.5,18013.37999999999,8507.399999999987,4453.792200000003,3698006.8333333284,2518570.839999998,24618.099999999326,710710.2128833337,1182980.6499999976,278682.37863333226,262123.01668333384,140116.3026119999
65,1,205,205.0,-54.460000000000036,21012.5,-5768.56,-5395.739999999999,1482.9458000000022,1435854.1666666672,-546844.9266666675,-88864.94666666636,181615.12023333382,-508630.87666666665,-49074.462866666414,171463.2316333331,-26920.409422666417
66,1,169,169.0,-5.019999999999982,14280.5,-4621.6000000000095,3773.2200000000116,12.600199999995212,804468.1666666662,-397639.24666666635,14228.09333333311,152236.82721666704,311723.04333333386,-281273.22243333387,131165.82901666663,-21.084334666647408
67,1,144,144.0,-70.09000000000003,10368.0,-6549.215000000007,-3543.7450000000003,2456.304050000001,497664.00000000035,-463363.2216666667,-16360.516666666876,214500.11548333368,-246969.3816666669,30034.24838333316,109173.41933333316,-57387.450288166576
68,1,184,184.0,14.269999999999982,16928.0,-5707.555000000004,8333.234999999999,101.8164499999931,1038250.6666666656,-466831.0516666666,-116528.01666666682,177970.5821666666,824921.6283333334,-437387.97418333305,278151.61881666625,484.3069138329954
69,1,135,135.0,-5.009999999999991,9112.5,-3584.8050000000108,2908.455000000006,12.550050000002102,410062.5000000002,-253999.35500000045,24050.03499999987,108071.50976666696,184295.69500000044,-198183.14648333366,91805.89346666702,-20.95858349984337
70,1,155,155.0,-0.07000000000005002,12012.5,-6123.015000000007,6112.165,0.002449999997196528,620645.8333333334,-469933.8316666674,-9199.661666666583,191505.48943333348,478292.6183333333,-382582.3678166668,191077.2581333333,-5.7166747978953936e-05
71,1,193,193.0,107.09000000000003,18624.5,12905.484999999997,7762.885000000009,5734.134050000006,1198176.1666666663,1256912.3683333332,-23066.131666666784,525268.9297833339,760651.4683333347,331510.52908333397,249908.41278333365,204689.4718048338
72,1,195,195.0,-4.8700000000000045,19012.5,-4698.155,3748.505000000001,11.858449999999493,1235812.4999999998,-458974.3116666667,1808.3983333337487,143656.84499999965,364575.03833333333,-264433.6751500001,123089.22789999997,-19.250217166540097
73,1,238,238.0,0.9900000000000091,28322.0,-6508.225000000009,6743.844999999998,0.4900500000005811,2246878.6666666684,-682381.065,-184195.42,200444.63391666688,894615.2650000004,-407332.41058333375,207004.4085666672,0.16171649981088598
74,1,157,157.0,57.42999999999995,12324.5,3709.444999999996,5307.064999999999,1649.1024499999985,644982.1666666666,282071.38166666595,18240.10166666654,115239.85646666637,407484.5516666665,-17446.286583333727,161115.5147666667,31569.317901166483
75,1,230,230.0,94.52999999999997,26450.0,14315.345000000003,7426.554999999992,4467.960450000002,2027833.3333333358,1629844.185000001,32840.97999999948,559549.1109000001,837633.3349999986,234131.3410500003,233950.45155000014,140785.43377950042
76,1,243,243.0,-4.340000000000032,29524.5,-7635.900000000004,6581.279999999992,9.417800000002039,2391484.500000001,-891982.2833333345,-71559.13333333425,246937.42373333286,835405.0866666654,-460735.04146666685,216086.14313333307,-13.624417333306933
77,1,184,184.0,1.5599999999999454,16928.0,11457.00999999999,-11169.970000000003,1.2167999999996937,1038250.6666666656,1062382.3199999994,-16674.799999999927,442428.62934999965,-1019299.8399999999,-866984.3230999997,424779.5849499996,0.6327360004652292
78,1,160,160.0,1.9399999999999409,12800.0,-4496.169999999995,4806.569999999994,1.88179999999755,682666.6666666665,-349513.54666666687,-20360.106666666466,146022.22508333335,394705.65333333274,-300767.0199666664,155045.88288333276,1.2168973337365065
79,1,180,180.0,94.71999999999991,16200.0,11042.249999999982,6007.349999999993,4485.9392,971999.9999999991,987958.5866666656,11687.826666666291,417498.3261333329,534817.586666666,210925.2677333326,179045.46213333347,141636.0536746667
80,1,220,220.0,-91.36000000000001,24200.0,-6885.480000000005,-13213.720000000003,4173.324800000002,1774666.6666666684,-753232.3466666667,-8340.906666666775,209069.00006666695,-1449338.7466666668,210919.45266666645,498143.0032666664,-127091.65124266637
81,1,287,287.0,-4.8799999999999955,41184.5,-8337.939999999997,6937.379999999998,11.907200000007379,3939983.8333333274,-1186529.553333332,-19929.67333333281,251941.0698166667,1005478.8666666668,-463192.9924333332,214669.28901666746,-19.369045333296526
82,1,199,199.0,0.5499999999999545,19800.5,-5623.254999999999,5732.704999999986,0.15124999999579813,1313433.1666666667,-597179.5883333331,75331.431666667,167714.2000666662,532738.4316666655,-338521.1903833333,170837.08906666635,0.02772916718822671
83,1,169,169.0,3.650000000000091,14280.5,4864.645000000005,-4247.7949999999955,6.661250000000928,804468.1666666662,398060.95833333314,26003.088333333333,154367.36631666656,-371940.2216666661,-290978.7783833333,137737.16331666656,8.104520833608944
84,1,258,258.0,-92.12,33282.0,-7150.559999999987,-16616.400000000012,4243.0472000000045,2862251.9999999986,-957522.2533333333,70200.0266666666,215394.77728333222,-2178615.613333336,227920.0326333336,651391.3676833337,-130289.83602133329
85,1,346,346.0,-85.81000000000006,59858.0,-7946.595000000003,-21743.665000000026,3681.67805,6903622.666666676,-1280008.4816666646,-189504.90666666595,257680.26558333292,-3666901.5916666696,166536.78578333295,849643.5539333343,-105308.26449016653
86,1,189,189.0,-56.98000000000002,17860.5,-5556.360000000007,-5212.8600000000015,1623.3601999999973,1125211.4999999993,-501293.37666666665,-47565.2866666666,164938.71908333388,-468832.6266666669,-13276.045366666907,155152.40408333295,-30833.02139866641
87,1,169,169.0,38.48000000000002,14280.5,10422.379999999994,-3919.2599999999907,740.3552000000045,804468.1666666662,917978.6633333326,-74575.10666666654,398003.2571166665,-293889.91666666593,-394953.33183333266,122070.10351666671,9496.289365333447
88,1,364,364.0,-55.64999999999998,66248.0,-10238.235000000011,-10018.364999999985,1548.4612499999914,8038090.666666682,-1759008.4150000056,-208700.7099999997,305251.20798333356,-1718992.0749999962,-40744.63821666647,299133.3252333312,-28723.95618749936
89,1,187,187.0,56.5,17484.5,4486.120000000007,6079.379999999994,1596.125,1089867.1666666658,447839.0666666674,-56773.693333332994,144626.27916666726,596808.8766666662,-35786.77833333324,189635.8741666664,30060.354166666224
90,1,187,187.0,56.129999999999995,17484.5,4657.204999999981,5839.105000000009,1575.288449999999,1089867.1666666658,369364.1949999992,132168.94499999972,145441.9531666668,479871.8450000009,-29474.989683333464,178611.97666666695,29473.646899500036
91,1,244,244.0,-11.360000000000014,29768.0,-9724.330000000002,6952.490000000006,64.52479999999741,2421130.6666666674,-1158421.253333334,-55894.01333333288,300507.8525833331,876150.786666667,-490547.31636666664,205783.51498333275,-244.33390933344344
92,1,187,187.0,6.42999999999995,17484.5,-4718.625000000009,5921.034999999994,20.672450000005483,1089867.1666666658,-479215.6083333334,76048.34166666662,158222.48021666743,515592.60166666645,-346785.71918333304,192428.98711666686,44.30795116632362
93,1,188,188.0,1.3899999999999864,17672.0,-5211.0850000000055,5472.404999999999,0.9660500000036336,1107445.3333333326,-453756.94833333447,-72170.0833333336,142443.47408333357,550491.1116666668,-292130.3563166671,149868.49963333362,0.44760316663450794
94,1,305,305.0,0.5600000000000591,46512.5,-9002.499999999982,9173.300000000003,0.15679999999611027,4728770.83333333,-1418744.8266666634,91727.1533333342,276318.831766664,1353064.6733333338,-557679.0635333331,281408.0557666656,0.029269333310367074
95,1,197,197.0,38.92999999999995,19404.5,12849.82499999999,-5180.615000000001,757.7724499999968,1274228.8333333333,1263498.9383333328,4417.648333333135,507588.2430833322,-512499.40166666656,-514932.7989166665,156625.72848333296,9833.360492833262
96,1,207,207.0,-91.41000000000008,21424.5,-5984.925000000007,-12936.945000000007,4177.894050000006,1478290.5000000007,-591422.1150000012,-56035.24500000039,182971.4213500004,-1310956.1849999996,181139.15155000004,500713.4954500005,-127300.43170349991
97,1,144,144.0,56.76999999999998,10368.0,4021.0250000000033,4153.854999999992,1611.4164499999956,497664.00000000035,288348.14166666666,2331.316666666858,119512.05475000013,297911.90166666615,-10750.52025000026,123282.43429999966,30493.370622166414
98,1,166,166.0,-48.309999999999945,13778.0,-3525.8349999999937,-4493.624999999998,1166.9280499999982,762382.6666666663,-303410.2916666654,21531.973333333328,111546.95668333345,-383736.8616666668,-52760.824516667206,134923.92413333326,-18791.431365166674
99,1,201,201.0,106.29999999999995,20200.5,12791.419999999996,8574.879999999994,5649.844999999995,1353433.5000000002,1271179.8766666665,28715.666666666624,495669.84423333284,847417.6066666661,368388.2575333326,271560.74323333276,200192.8411666661
100,1,211,211.0,-92.46000000000004,22260.5,-5948.52,-13560.54,4274.425800000002,1565655.1666666677,-632871.5900000004,10605.460000000046,186456.86719999986,-1435939.6999999993,177086.42479999893,538360.5518000007,-131737.80315600018
101,1,210,210.0,56.569999999999936,22050.0,5939.094999999992,5940.605,1600.082449999997,1543500.000000001,666184.6683333329,-85159.38666666632,166669.97764999943,666343.2183333329,2634.6488499992056,166712.6879999999,30172.221398833182
102,1,163,163.0,0.3300000000000409,13284.5,-5292.504999999983,5346.295000000001,0.05444999999826905,721791.1666666664,-442381.6449999994,22084.975000000795,167987.46466666594,424680.5549999996,-337721.4559833331,169742.8666666665,0.0059895000522374175
103,1,279,279.0,59.020000000000095,38920.5,8136.440000000017,8330.140000000018,1741.6802000000032,3619606.4999999953,1151082.3566666674,-32097.953333332734,246253.85385000007,1178103.5066666687,-12295.018899998719,251969.94085,34264.655134666624
104,1,227,227.0,-5.57000000000005,25764.5,-6447.634999999994,5183.244999999984,15.512450000003227,1949513.8333333356,-734417.9383333328,5222.731666667181,186752.02406666725,585686.9416666654,-337590.7211833328,154360.02326666695,-28.80144883341211
105,1,302,302.0,-91.09000000000003,45602.0,-9181.205000000009,-18327.975000000002,4148.69405,4590601.333333329,-1294968.4316666685,-182787.04666666646,280781.4152666675,-2676130.701666666,274753.1329166678,697371.0549166653,-125968.18033816686
106,1,271,271.0,-5.050000000000068,36720.5,-7475.805000000007,6107.254999999998,12.751250000006848,3317085.1666666633,-963602.8216666697,-98737.5116666655,231168.38445000062,876901.8083333327,-424583.95364999975,196871.15795000063,-21.46460416683476
